Dataset,Metric,scRGCL,scCCL,scLEGA,scSAMAC,scAttentionAE,PCA+Leiden,PCA+Louvain,PCA+KMeans
"0 Quake_10x_Bladder
2500",ARI,98.81,75.52,50.95,61.98,76.76,22.54,31.19,97.53
,NMI,95.79,80.71,69.14,73.79,82.02,53.16,58.38,94.65
"1 Quake_10x_Limb_Muscle
3909",ARI,99.17,99.43,97.63,86.27,97.67,48.59,48.16,97.93
,NMI,98.31,98.85,95.03,91.41,94.82,77.31,77.06,95.80
"2 Quake_10x_Spleen
9552",ARI,89.77,90.02,82.51,0,73.97,21.66,18.52,93.74
,NMI,78.8,79.33,77.17,0,71.16,47.56,47.80,86.92
"3 Quake_Smart-seq2_Diaphragm
870",ARI,97.42,98.29,97.04,44.27,91.45,57.02,66.34,97.24
,NMI,94.91,96.11,93.55,55.59,89.18,75.45,81.84,95.90
"4 Quake_Smart-seq2_Limb_Muscle
1090",ARI,93.11,97.82,95.32,72.19,79.16,51.55,52.05,96.84
,NMI,86.11,95.74,90.84,61.24,84.18,77.81,77.98,95.36
"5 Romanov
2881",ARI,78.3,75.54,58.5,59.99,77.58,41.45,44.08,74.69
,NMI,70.48,68.6,65.72,68.08,71.94,61.33,62.67,70.63
"6 Muraro
2122",ARI,90.47,91.94,93.51,83.75,92.35,58.57,48.01,90.58
,NMI,84.21,87.05,89.71,80.51,88.31,75.88,73.89,86.16
"7 Klein
2717",ARI,88.4,78.38,75.58,86.54,73.4,79.06,79.68,80.68
,NMI,84.69,78.04,76.18,89.93,74.51,79.43,80.18,80.56
"8 Quake_Smart-seq2_Trachea
1350",ARI,94.01,60.06,61.02,71.89,63.42,24.02,18.70,60.29
,NMI,90.97,68.93,73.25,52.37,72.24,57.68,54.87,70.16
"9 Pollen
301",ARI,93.79,75.3,55.66,25.36,53.38,54.39,48.44,62.52
,NMI,91.81,83.89,77.24,36.35,76.31,75.52,70.82,70.42
"10 Chung
527",ARI,62.85,22.05,41.17,14.72,17.71,17.03,17.33,46.67
,NMI,45.3,15.5,48.74,16.42,37.19,44.71,44.42,51.60
"11 Baron1
1937",ARI,87.98,92.87,92.46,73.52,68.95,65.52,59.64,92.50
,NMI,79.47,84.77,89.21,78.84,79.52,83.94,83.14,88.21
"12 Baron2
1724",ARI,90.58,89.69,12.14,89.84,85.57,56.93,55.19,90.99
,NMI,85.01,87.11,35.84,82.69,80.22,78.13,79.56,89.58
"13 Baron3
3605",ARI,88.76,86.88,85.18,91.2,88.8,54.61,56.80,79.99
,NMI,85.04,84.11,86.06,86.35,86.35,77.70,78.38,86.16
"14 Baron4
1303",ARI,86.79,81.4,87.2,85.44,85.3,60.73,65.08,86.95
,NMI,80.25,82.54,86.82,82.45,86.76,79.12,80.87,86.08
average,ARI,89.35,81.01,72.39,67.64,75.03,#DIV/0!,#DIV/0!,#DIV/0!
,NMI,83.41,79.42,76.97,68.29,78.31,#DIV/0!,#DIV/0!,#DIV/0!
